Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share
sapphire and diamond ring,USD,12100,-18%,0%,High,100,1.16,4.56,4%
1 carat diamond,USD,12100,0%,0%,High,100,1.38,3.60,2%
mens titanium wedding bands,USD,12100,-18%,0%,High,100,1.35,4.01,< 1%
princess cut ring,USD,12100,-18%,0%,High,100,1.38,4.31,2%
emerald wedding rings,USD,12100,-18%,-18%,High,100,1.45,4.41,1%
emerald wedding band,USD,12100,-18%,-18%,High,100,1.45,4.41,1%
round engagement rings,USD,12100,-18%,0%,High,100,1.62,4.58,1%
marquise diamond engagement ring,USD,12100,-63%,124%,High,100,1.97,5.42,2%
2 ct diamond earrings,USD,12100,-18%,0%,High,100,1.34,5.19,65%
gold oval engagement rings,USD,12100,-18%,22%,High,100,1.65,4.51,1%
10 carat diamond ring,USD,12100,0%,49%,High,100,1.26,3.55,5%
average engagement ring cost,USD,12100,-18%,-18%,High,100,1.36,3.90,1%
round cut engagement rings,USD,12100,-18%,0%,High,100,1.62,4.58,1%
white gold wedding bands for women,USD,12100,-33%,-18%,High,100,0.79,3.25,16%
3 carat diamond ring price,USD,12100,-18%,0%,High,100,0.85,2.50,2%
white gold wedding rings for women,USD,12100,-33%,-18%,High,100,0.79,3.25,16%
diamond stud earrings 2 carat,USD,12100,-18%,0%,High,100,1.34,5.19,65%
1ct diamond,USD,12100,0%,0%,High,100,1.38,3.60,2%
white gold diamond wedding band,USD,12100,-18%,0%,High,100,0.87,3.46,13%
lab grown diamond rings for sale,USD,12100,-87%,-87%,High,94,1.83,7.80,67%
types of wedding rings,USD,12100,-18%,0%,High,100,1.15,2.75,< 1%
3 carat diamond price,USD,12100,-18%,0%,High,100,0.85,2.50,2%
cost of lab grown diamonds,USD,12100,124%,235%,High,94,1.33,4.20,< 1%
circle engagement rings,USD,12100,-18%,0%,High,100,1.62,4.58,1%
two carat diamond earrings,USD,12100,-18%,0%,High,100,1.34,5.19,65%
men's titanium wedding bands,USD,12100,-18%,0%,High,100,1.35,4.01,< 1%
emerald cut promise ring,USD,12100,-45%,0%,High,100,0.93,3.33,1%
titanium wedding rings for men,USD,12100,-18%,0%,High,100,1.35,4.01,< 1%
pear wedding rings,USD,12100,-18%,0%,High,100,1.99,5.66,< 1%
round wedding rings,USD,12100,-18%,0%,High,100,1.62,4.58,1%
10 ct diamond ring,USD,12100,0%,49%,High,100,1.26,3.55,5%
ladies white gold wedding band,USD,12100,-33%,-18%,High,100,0.79,3.25,16%
cost of 3 carat diamond,USD,12100,-18%,0%,High,100,0.85,2.50,2%
different cut diamonds,USD,12100,-18%,-33%,High,94,0.61,2.51,< 1%
cost of diamond,USD,12100,-45%,22%,High,86,1.04,3.48,< 1%
birthstones of each month,USD,12100,0%,0%,High,100,0.06,0.64,< 1%
basic engagement ring,USD,12100,-18%,-33%,High,100,1.27,3.15,< 1%
simplistic engagement rings,USD,12100,-18%,-33%,High,100,1.27,3.15,< 1%
gold and white gold wedding band,USD,12100,-18%,0%,High,100,0.87,3.46,13%
cushion cut wedding rings,USD,12100,-18%,0%,High,100,1.83,4.98,2%
diamond marriage ring,USD,12100,0%,0%,High,100,1.43,4.23,17%
men's titanium wedding rings,USD,12100,-18%,0%,High,100,1.35,4.01,< 1%
titanium male wedding band,USD,12100,-18%,0%,High,100,1.35,4.01,< 1%
3 ct diamond ring price,USD,12100,-18%,0%,High,100,0.85,2.50,2%
men's wedding bands titanium,USD,12100,-18%,0%,High,100,1.35,4.01,< 1%
3 ct diamond price,USD,12100,-18%,0%,High,100,0.85,2.50,2%
men's wedding rings titanium,USD,12100,-18%,0%,High,100,1.35,4.01,< 1%
hailey bieber rings,USD,12100,-45%,50%,High,100,2.07,22.62,< 1%
3ct diamond cost,USD,12100,-18%,0%,High,100,0.85,2.50,2%
3.0 carat diamond price,USD,12100,-18%,0%,High,100,0.85,2.50,2%
three carat diamond ring price,USD,12100,-18%,0%,High,100,0.85,2.50,2%
online jewelry stores,USD,9900,-33%,-19%,High,100,1.84,7.64,6%
platinum wedding bands,USD,9900,0%,22%,High,100,1.71,5.47,3%
solitaire engagement ring,USD,9900,0%,0%,High,100,2.00,6.84,3%
diamond engagement rings for women,USD,9900,-18%,22%,High,100,1.89,6.98,21%
best engagement rings,USD,9900,-19%,0%,High,100,2.33,10.68,3%
tungsten wedding bands,USD,9900,-19%,-33%,High,100,1.09,3.35,< 1%
diamond drop earrings,USD,9900,-19%,-19%,High,100,1.24,4.88,3%
three stone engagement ring,USD,9900,0%,0%,High,100,2.00,5.72,3%
black diamond earrings,USD,9900,-33%,-19%,High,100,0.70,4.14,96%
1.5 carat diamond ring,USD,9900,-18%,-18%,High,100,1.43,4.33,4%
diamond band,USD,9900,-18%,-33%,High,100,1.39,4.17,6%
black engagement rings,USD,9900,-33%,-33%,High,100,1.26,4.60,8%
diamond ring price,USD,9900,-45%,179%,High,98,1.11,3.03,4%
lab grown diamonds for sale,USD,9900,1020%,2421%,Low,21,2.05,10.60,< 1%
chocolate diamond ring,USD,9900,-18%,-18%,High,100,0.84,2.92,2%
blue diamond ring,USD,9900,-19%,-45%,High,100,1.18,3.42,34%
moonstone engagement ring,USD,9900,-46%,-33%,High,100,0.79,3.02,
gold diamond earrings,USD,9900,22%,22%,High,100,0.72,3.87,6%
engagement ring sale,USD,9900,-45%,24%,High,100,1.40,9.51,30%
rubber wedding bands for men,USD,9900,-18%,0%,High,100,0.94,2.65,
pearl engagement rings,USD,9900,-18%,-18%,High,100,1.10,3.62,1%
square engagement rings,USD,9900,-33%,-18%,High,100,1.11,3.55,1%
tungsten carbide rings,USD,9900,-18%,0%,High,100,0.52,2.00,< 1%
diamond stud earrings for men,USD,9900,-45%,0%,High,100,1.06,3.64,5%
moissanite wedding sets,USD,9900,-33%,-18%,High,100,1.06,3.72,8%
wedding entertainment,USD,9900,400%,1588%,Low,2,1.06,4.10,
marriage rings,USD,9900,-18%,0%,High,100,1.35,3.58,5%
3 carat diamond,USD,9900,-18%,-45%,High,100,1.27,3.09,2%
flower engagement ring,USD,9900,-33%,0%,High,100,1.55,4.62,< 1%
floral engagement rings,USD,9900,-33%,0%,High,100,1.55,4.62,< 1%
engagement ring stores,USD,9900,-18%,50%,High,91,2.15,9.93,5%
marquise cut diamond,USD,9900,-18%,22%,High,100,1.53,4.96,< 1%
4 c's of diamonds,USD,9900,-18%,0%,High,84,0.99,4.36,7%
art deco rings,USD,9900,0%,-18%,High,100,0.65,2.72,< 1%
moissanite bridal sets,USD,9900,-33%,-18%,High,100,1.06,3.72,8%
1.5 ct diamond ring,USD,9900,-18%,-18%,High,100,1.43,4.33,4%
stackable wedding bands,USD,9900,-18%,0%,High,100,1.24,3.90,2%
engagement ring prices,USD,9900,0%,0%,High,100,1.29,3.50,1%
shop engagement rings,USD,9900,-18%,50%,High,91,2.15,9.93,5%
platinum diamond wedding band,USD,9900,0%,22%,High,100,1.71,5.47,3%
rubber wedding rings for men,USD,9900,-18%,0%,High,100,0.94,2.65,
princess diana engagement ring,USD,9900,-18%,-18%,High,100,0.19,4.63,< 1%
oval rings,USD,9900,-18%,22%,High,100,1.64,3.76,< 1%
mens platinum ring,USD,9900,0%,23%,High,100,1.16,3.37,3%
gold jewellery near me,USD,9900,22%,22%,High,100,1.00,3.37,< 1%
2ct diamond,USD,9900,-18%,-18%,High,100,1.45,3.45,3%
square wedding rings,USD,9900,-33%,-18%,High,100,1.11,3.55,1%
diana ring,USD,9900,-18%,-18%,High,100,0.19,4.63,< 1%
2 ct diamond,USD,9900,-18%,-18%,High,100,1.45,3.45,3%
cluster rings,USD,9900,0%,-55%,High,100,1.12,4.03,2%
stacked wedding rings,USD,9900,-18%,0%,High,100,1.24,3.90,2%
stackable wedding rings,USD,9900,-18%,0%,High,100,1.24,3.90,2%
moissanite wedding ring set,USD,9900,-33%,-18%,High,100,1.06,3.72,8%
good engagement ring,USD,9900,-19%,0%,High,100,2.33,10.68,3%
3 ct diamond,USD,9900,-18%,-45%,High,100,1.27,3.09,2%
3 stone wedding ring,USD,9900,0%,0%,High,100,2.00,5.72,3%
diamond women engagement rings,USD,9900,-18%,22%,High,100,1.89,6.98,21%
three stone wedding ring,USD,9900,0%,0%,High,100,2.00,5.72,3%
flower wedding rings,USD,9900,-33%,0%,High,100,1.55,4.62,< 1%
moissanite bridal set rings,USD,9900,-33%,-18%,High,100,1.06,3.72,8%
titanium band ring,USD,9900,0%,0%,High,100,0.74,2.91,< 1%
indian jewellery store near me,USD,9900,22%,50%,High,87,0.76,2.56,< 1%
moissanite rings wedding set,USD,9900,-33%,-18%,High,100,1.06,3.72,8%
proposal ring price,USD,9900,0%,0%,High,100,1.29,3.50,1%
moissanite wedding band set,USD,9900,-33%,-18%,High,100,1.06,3.72,8%
platinum male ring,USD,9900,0%,23%,High,100,1.16,3.37,3%
rubber men's wedding bands,USD,9900,-18%,0%,High,100,0.94,2.65,
princess dianas ring,USD,9900,-18%,-18%,High,100,0.19,4.63,< 1%
3.0 ct diamond,USD,9900,-18%,-45%,High,100,1.27,3.09,2%
tungsten rings carbide,USD,9900,-18%,0%,High,100,0.52,2.00,< 1%
platinum ring for him,USD,9900,0%,23%,High,100,1.16,3.37,3%
gents platinum ring,USD,9900,0%,23%,High,100,1.16,3.37,3%
3.00 ct diamond,USD,9900,-18%,-45%,High,100,1.27,3.09,2%
jewellery desi,USD,9900,0%,22%,High,94,0.74,3.34,< 1%
diamond stud earrings for women,USD,8100,-45%,22%,High,100,0.90,6.54,7%
custom wedding rings,USD,8100,-19%,22%,High,100,2.03,5.38,2%
bridal sets,USD,8100,0%,-18%,High,100,1.14,5.41,20%
rose gold wedding band,USD,8100,-19%,-33%,High,100,1.00,3.72,3%
lab grown diamond tennis bracelet,USD,8100,-33%,22%,High,100,1.91,8.68,51%
3 stone engagement ring,USD,8100,0%,0%,High,100,2.00,5.59,6%
morganite engagement ring,USD,8100,-33%,-33%,High,100,1.12,3.45,7%
anniversary rings for her,USD,8100,-33%,-33%,High,100,0.60,3.04,11%
matching wedding bands,USD,8100,-33%,-33%,High,100,1.05,3.50,24%
yellow gold engagement rings,USD,8100,22%,50%,High,100,1.80,5.97,3%
diamond band ring,USD,8100,-19%,-33%,High,100,1.43,4.34,9%
tungsten rings for men,USD,8100,-19%,0%,High,100,1.25,3.65,< 1%
natural diamond engagement rings,USD,8100,-18%,50%,High,100,2.02,7.80,7%
pink diamond engagement ring,USD,8100,-33%,23%,High,100,1.73,3.95,3%
engagement ring settings,USD,8100,-19%,0%,High,100,1.93,5.49,4%
baguette wedding band,USD,8100,0%,-19%,High,100,1.27,3.94,3%
silicone wedding rings,USD,8100,-18%,-18%,High,100,0.80,2.65,
emerald diamond ring,USD,8100,-19%,-19%,High,100,1.70,5.75,2%
wedding sets,USD,8100,-19%,-19%,High,100,0.84,3.84,22%
oval cut engagement rings,USD,8100,0%,50%,High,100,1.76,5.24,2%
custom mens wedding bands,USD,8100,50%,83%,High,100,1.58,4.68,4%
vintage style engagement rings,USD,8100,-18%,0%,High,100,1.15,3.28,2%
titanium rings for men,USD,8100,-19%,0%,High,100,1.00,3.41,< 1%
non traditional engagement rings,USD,8100,-19%,-33%,High,100,0.97,3.10,2%
2.5 carat diamond ring,USD,8100,-19%,-33%,High,100,1.55,3.97,4%
rose gold mens wedding band,USD,8100,0%,0%,High,100,1.27,3.90,3%
anniversary band,USD,8100,-19%,-19%,High,100,0.80,3.44,7%
anniversary bands for her,USD,8100,-33%,-33%,High,100,0.60,3.04,11%
1 carat diamond stud earrings,USD,8100,-33%,0%,High,100,1.18,5.91,21%
loose diamond,USD,8100,-19%,-19%,High,85,2.16,9.15,< 1%
teardrop engagement ring,USD,8100,-19%,-19%,High,100,1.50,4.57,1%
ruby and diamond ring,USD,8100,-19%,-19%,High,100,1.29,4.55,4%
vintage diamond rings,USD,8100,-33%,-19%,High,100,0.72,2.65,5%
moissanite wedding rings,USD,8100,-89%,-18%,High,100,0.98,3.60,5%
3 carat oval diamond ring,USD,8100,-19%,0%,High,100,1.84,4.92,5%
two stone engagement ring,USD,8100,-19%,22%,High,100,1.62,4.37,13%
pear shaped ring,USD,8100,-19%,-19%,High,100,1.41,4.60,1%
opal wedding rings,USD,8100,0%,-18%,High,100,0.86,2.99,< 1%
gothic engagement rings,USD,8100,-33%,-18%,High,100,0.68,3.06,< 1%
buy diamond ring,USD,8100,-76%,-32%,High,82,2.95,13.54,6%
lab grown diamond band,USD,8100,-33%,0%,High,100,2.42,10.28,18%
6 carat diamond ring,USD,8100,22%,50%,High,100,1.39,4.63,4%
diamond store near me,USD,8100,-19%,-19%,High,91,1.66,8.14,2%
ruby diamond ring,USD,8100,-19%,-19%,High,100,1.29,4.55,4%
rose cut diamond,USD,8100,-18%,0%,High,100,1.06,5.11,11%
pave diamond,USD,8100,-19%,0%,High,100,2.00,7.80,1%
pear shaped diamond,USD,8100,0%,0%,High,100,1.75,6.41,1%
radiant cut,USD,8100,-18%,-45%,High,100,1.75,6.00,< 1%
1ct diamond stud earrings,USD,8100,-33%,0%,High,100,1.18,5.91,21%
mens custom wedding rings,USD,8100,50%,83%,High,100,1.58,4.68,4%
vintage diamond engagement rings,USD,8100,-33%,-19%,High,100,0.72,2.65,5%
black mens ring,USD,8100,-19%,-19%,High,100,1.09,3.50,< 1%
diamond dealer,USD,8100,53%,-19%,Medium,46,2.47,9.19,1%
opal wedding band,USD,8100,0%,-18%,High,100,0.86,2.99,< 1%
2 stone engagement ring,USD,8100,-19%,22%,High,100,1.62,4.37,13%
antique style engagement rings,USD,8100,-18%,0%,High,100,1.15,3.28,2%
diamonds near me,USD,8100,0%,0%,Medium,45,2.31,11.05,< 1%
non traditional wedding rings,USD,8100,-19%,-33%,High,100,0.97,3.10,2%
pear cut diamond,USD,8100,0%,0%,High,100,1.75,6.41,1%
2.5 ct diamond ring,USD,8100,-19%,-33%,High,100,1.55,3.97,4%
3 ct oval diamond ring,USD,8100,-19%,0%,High,100,1.84,4.92,5%
diamond dealers near me,USD,8100,-19%,-19%,High,91,1.66,8.14,2%
3 carat oval diamond,USD,8100,-19%,0%,High,100,1.84,4.92,5%
vintage style wedding rings,USD,8100,-18%,0%,High,100,1.15,3.28,2%
baguette wedding ring,USD,8100,0%,-19%,High,100,1.27,3.94,3%
2.5 carat diamond,USD,8100,-19%,-33%,High,100,1.55,3.97,4%
indian jewellers near me,USD,8100,22%,0%,High,85,0.73,2.45,< 1%
vintage looking engagement rings,USD,8100,-18%,0%,High,100,1.15,3.28,2%
diamond cut ring,USD,8100,-33%,23%,High,100,0.74,2.69,< 1%
morganite wedding ring,USD,8100,-33%,-33%,High,100,1.12,3.45,7%
antique looking engagement rings,USD,8100,-18%,0%,High,100,1.15,3.28,2%
diamond ring with diamond band,USD,8100,-19%,-33%,High,100,1.43,4.34,9%
6ct diamond ring,USD,8100,22%,50%,High,100,1.39,4.63,4%
mens wedding rings rose gold,USD,8100,0%,0%,High,100,1.27,3.90,3%
real diamond earring,USD,8100,-19%,-19%,High,100,0.86,3.15,7%
oval cut wedding ring,USD,8100,0%,50%,High,100,1.76,5.24,2%
3 carat oval diamond engagement ring,USD,8100,-19%,0%,High,100,1.84,4.92,5%
3ct oval diamond,USD,8100,-19%,0%,High,100,1.84,4.92,5%
rose gold wedding bands for him,USD,8100,0%,0%,High,100,1.27,3.90,3%
three carat oval diamond ring,USD,8100,-19%,0%,High,100,1.84,4.92,5%
rose gold male wedding band,USD,8100,0%,0%,High,100,1.27,3.90,3%
rose gold men's wedding band,USD,8100,0%,0%,High,100,1.27,3.90,3%
unique jewelery,USD,8100,0%,0%,High,100,0.64,2.59,< 1%
engagement and band set,USD,8100,-19%,-19%,High,100,1.51,6.45,24%
oval diamond engagement ring 3 carat,USD,8100,-19%,0%,High,100,1.84,4.92,5%
3 ct diamond ring oval,USD,8100,-19%,0%,High,100,1.84,4.92,5%
three carat oval diamond,USD,8100,-19%,0%,High,100,1.84,4.92,5%
3 ct oval diamond engagement rings,USD,8100,-19%,0%,High,100,1.84,4.92,5%
princess diana engagement,USD,8100,0%,-33%,Low,1,0.05,0.12,
3 carat diamond ring how much,USD,8100,0%,0%,High,97,0.63,2.50,1%
diamonds real diamonds,USD,8100,0%,0%,High,87,1.38,3.60,1%
grtjewellery,USD,8100,23%,0%,Medium,61,0.17,1.79,< 1%
sets for wedding,USD,8100,-19%,-19%,High,100,0.84,3.84,22%
diamond store,USD,6600,-19%,-19%,High,96,2.00,8.58,3%
lab diamond earrings,USD,6600,-64%,0%,High,100,2.28,9.65,17%
aquamarine engagement ring,USD,6600,-18%,-18%,High,100,1.30,5.25,2%
platinum engagement rings,USD,6600,0%,50%,High,100,2.00,7.06,3%
rubber rings for men,USD,6600,0%,0%,High,100,1.15,2.65,
2 carat lab grown diamond,USD,6600,-18%,23%,High,100,1.65,5.33,6%
unique engagement rings for women,USD,6600,-18%,0%,High,100,1.24,3.32,3%
male engagement rings,USD,6600,-18%,-18%,High,100,1.21,3.37,< 1%
lab diamond wedding band,USD,6600,2032%,2431%,High,100,2.44,8.08,26%
pearl and diamond earrings,USD,6600,0%,-19%,High,100,0.90,4.01,1%
non diamond engagement rings,USD,6600,-18%,-18%,High,100,1.03,3.25,2%
yellow diamond engagement rings,USD,6600,-33%,0%,High,100,1.77,4.54,2%
1 carat diamond price,USD,6600,0%,23%,High,94,0.93,2.81,< 1%
gold band ring,USD,6600,-19%,0%,High,100,0.70,2.83,1%
curved wedding band,USD,6600,0%,22%,High,100,1.26,3.90,5%
gold wedding bands for women,USD,6600,-33%,0%,High,100,0.76,3.08,3%
engagement ring designer,USD,6600,-18%,0%,High,100,1.80,5.59,< 1%
baguette diamond ring,USD,6600,-18%,-33%,High,100,1.48,3.60,3%
2 carat oval diamond ring,USD,6600,-18%,-18%,High,100,1.92,5.45,6%
halo diamond ring,USD,6600,50%,50%,High,100,1.50,5.28,4%
elongated cushion cut engagement rings,USD,6600,-33%,0%,High,100,2.20,6.39,< 1%
square diamond ring,USD,6600,-19%,0%,High,100,1.26,3.67,2%
white gold diamond ring,USD,6600,0%,50%,High,100,1.19,4.23,9%
emerald cut diamond engagement rings,USD,6600,-64%,50%,High,100,2.00,6.57,1%
build your own ring,USD,6600,-33%,410%,High,100,1.56,3.98,< 1%
black diamond earrings for men,USD,6600,-33%,-19%,High,100,0.62,2.75,95%
pear ring,USD,6600,-19%,-19%,High,100,0.86,3.92,< 1%
rectangle engagement ring,USD,6600,-19%,0%,High,100,1.56,4.00,< 1%
man made diamond earrings,USD,6600,-64%,0%,High,100,2.28,9.65,17%
carbon fiber ring,USD,6600,-17%,-17%,High,100,0.95,2.81,< 1%
cushion cut diamond ring,USD,6600,-45%,22%,High,100,1.86,4.90,2%
2 carat diamond ring price,USD,6600,-45%,0%,High,100,0.99,2.66,4%
silicone wedding bands for women,USD,6600,0%,-33%,High,100,0.43,2.04,
diamond cluster ring,USD,6600,0%,-19%,High,100,1.04,4.25,14%
3 carat emerald cut diamond ring,USD,6600,0%,0%,High,100,1.78,4.85,< 1%
mens wood wedding bands,USD,6600,-33%,-18%,High,100,1.35,4.23,
unique wedding bands for women,USD,6600,0%,0%,High,100,0.80,3.01,3%
mens black diamond wedding band,USD,6600,-19%,-19%,High,100,1.25,4.73,30%
cushion cut,USD,6600,0%,50%,High,100,1.78,5.76,< 1%
radiant diamond ring,USD,6600,1588%,2032%,High,100,1.97,5.33,2%
halo diamond engagement ring,USD,6600,50%,50%,High,100,1.50,5.28,4%
2 ct lab grown diamond,USD,6600,-18%,23%,High,100,1.65,5.33,6%
ruby wedding rings,USD,6600,0%,0%,High,100,1.15,3.65,2%
pearl diamond earrings,USD,6600,0%,-19%,High,100,0.90,4.01,1%
western wedding rings,USD,6600,-18%,0%,High,100,0.54,2.52,< 1%
hidden halo,USD,6600,-18%,0%,High,100,2.32,11.24,< 1%
engagement bands for her,USD,6600,-64%,-16%,High,100,1.65,5.56,6%
princess cut diamond engagement rings,USD,6600,-70%,23%,High,100,1.39,4.89,8%
engagement rings for her,USD,6600,-64%,-16%,High,100,1.65,5.56,6%
asscher cut,USD,6600,-33%,-18%,High,100,1.35,5.40,< 1%
engagement ring stores near me,USD,6600,-33%,-19%,High,98,2.15,8.82,2%
7 carat diamond ring,USD,6600,0%,-45%,High,100,1.47,4.87,3%
lab diamond wedding rings,USD,6600,2032%,2431%,High,100,2.44,8.08,26%
unique wedding rings for women,USD,6600,0%,0%,High,100,0.80,3.01,3%
emerald cut engagement rings gold,USD,6600,-18%,23%,High,100,1.80,4.88,1%
cushion cut diamond engagement rings,USD,6600,-45%,22%,High,100,1.86,4.90,2%
mens moissanite rings,USD,6600,0%,0%,High,100,0.63,2.51,4%
2 carat diamond price,USD,6600,-45%,0%,High,100,0.99,2.66,4%
ruby wedding band,USD,6600,0%,0%,High,100,1.15,3.65,2%
white gold diamond engagement rings,USD,6600,0%,50%,High,100,1.19,4.23,9%
2ct oval diamond ring,USD,6600,-18%,-18%,High,100,1.92,5.45,6%
engagement rings not diamond,USD,6600,-18%,-18%,High,100,1.03,3.25,2%
wedding ring designer,USD,6600,-18%,0%,High,100,1.80,5.59,< 1%
meghan markle engagement ring,USD,6600,22%,83%,High,94,1.02,3.63,< 1%
3 carat emerald cut diamond,USD,6600,0%,0%,High,100,1.78,4.85,< 1%
3ct emerald cut diamond ring,USD,6600,0%,0%,High,100,1.78,4.85,< 1%
1 ct diamond price,USD,6600,0%,23%,High,94,0.93,2.81,< 1%
engagement ring shops near me,USD,6600,-33%,-19%,High,98,2.15,8.82,2%
engagement ring designers,USD,6600,-18%,0%,High,100,1.80,5.59,< 1%
unique women's wedding bands,USD,6600,0%,0%,High,100,0.80,3.01,3%
masculine engagement rings,USD,6600,-18%,-18%,High,100,1.21,3.37,< 1%
non diamond wedding rings,USD,6600,-18%,-18%,High,100,1.03,3.25,2%
wood wedding bands for him,USD,6600,-33%,-18%,High,100,1.35,4.23,
white gold and diamond ring,USD,6600,0%,50%,High,100,1.19,4.23,9%
curved wedding ring,USD,6600,0%,22%,High,100,1.26,3.90,5%
jewelry on line,USD,6600,24%,-18%,High,100,1.69,6.63,2%
yellow diamond wedding ring,USD,6600,-33%,0%,High,100,1.77,4.54,2%
mens wedding rings wood,USD,6600,-33%,-18%,High,100,1.35,4.23,
western wedding bands,USD,6600,-18%,0%,High,100,0.54,2.52,< 1%
best jewlery brands,USD,6600,-33%,-19%,High,100,0.91,3.16,2%
5ct diamond,USD,6600,-19%,0%,High,100,1.34,3.29,2%
men's wooden wedding bands,USD,6600,-33%,-18%,High,100,1.35,4.23,
7ct diamond ring,USD,6600,0%,-45%,High,100,1.47,4.87,3%
princess cut diamond wedding ring,USD,6600,-70%,23%,High,100,1.39,4.89,8%
2 carat diamond ring cost,USD,6600,-45%,0%,High,100,0.99,2.66,4%
black diamond wedding bands for him,USD,6600,-19%,-19%,High,100,1.25,4.73,30%
black diamond mens wedding ring,USD,6600,-19%,-19%,High,100,1.25,4.73,30%
mens black wedding band with black diamonds,USD,6600,-19%,-19%,High,100,1.25,4.73,30%
jewelery for women,USD,6600,-33%,0%,High,100,0.94,3.81,< 1%
diamond shaped ring,USD,6600,-19%,22%,High,100,1.01,3.14,< 1%
2 ct diamond price,USD,6600,-45%,0%,High,100,0.99,2.66,4%
setting ring,USD,6600,-19%,0%,High,100,1.24,3.28,8%
three carat emerald cut diamond ring,USD,6600,0%,0%,High,100,1.78,4.85,< 1%
men's jewellery near me,USD,6600,23%,0%,High,98,0.77,3.57,< 1%
3 carat emerald cut diamond engagement ring,USD,6600,0%,0%,High,100,1.78,4.85,< 1%
3 ct emerald cut diamond engagement ring,USD,6600,0%,0%,High,100,1.78,4.85,< 1%
3 carat diamond emerald cut ring,USD,6600,0%,0%,High,100,1.78,4.85,< 1%
